Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1895, 1, 0, 77.83, 13.16, 81, 300, 0, 
1896, 1, 0, 77.83, 13.16, 81, 299, 0, 
1897, 1, 0, 77.83, 13.16, 81, 299, 0, 
1898, 1, 0, 77.83, 13.16, 81, 298, 0, 
1899, 1, 0, 77.83, 13.16, 81, 299, 0, 
1900, 1, 0, 77.83, 13.16, 81, 299, 0, 
1901, 1, 0, 77.83, 13.16, 81, 298, 0, 
1902, 1, 0, 77.83, 13.16, 81, 299, 0, 
1903, 1, 0, 77.83, 13.16, 81, 299, 0, 
1904, 1, 0, 77.83, 13.16, 81, 300, 0, 
1905, 1, 0, 77.83, 13.16, 81, 300, 0, 
1906, 1, 0, 77.83, 13.16, 81, 299, 0, 
1907, 1, 0, 77.83, 13.16, 81, 300, 0, 
1908, 1, 0, 77.83, 13.16, 81, 299, 0, 
1909, 1, 0, 77.83, 13.16, 81, 300, 0, 
1910, 1, 0, 77.83, 13.16, 81, 299, 0, 
1911, 1, 0, 77.83, 13.16, 81, 299, 0, 
1912, 1, 0, 77.83, 13.16, 81, 299, 0, 
1913, 1, 0, 77.83, 13.16, 81, 299, 0, 
1914, 1, 0, 77.83, 13.16, 81, 300, 0, 
1915, 1, 0, 77.83, 13.16, 81, 298, 0, 
1916, 1, 0, 77.83, 13.16, 81, 300, 0, 
1917, 1, 0, 77.83, 13.16, 81, 299, 0, 
1918, 1, 0, 77.83, 13.16, 81, 299, 0, 
1919, 1, 0, 77.83, 13.16, 81, 299, 0, 
1920, 1, 0, 77.83, 13.16, 81, 299, 0, 
1921, 1, 0, 77.83, 13.16, 81, 299, 0, 
1922, 1, 0, 77.83, 13.16, 81, 300, 0, 
1923, 1, 0, 77.83, 13.16, 81, 299, 0, 
1924, 1, 0, 77.83, 13.16, 81, 299, 0, 
1925, 1, 0, 77.83, 13.16, 81, 300, 0, 
1926, 1, 0, 77.83, 13.16, 81, 298, 0, 
1927, 1, 0, 77.83, 13.16, 81, 299, 0, 
1928, 1, 0, 77.83, 13.16, 81, 299, 0, 
1929, 1, 0, 77.83, 13.16, 81, 300, 0, 
1930, 1, 0, 77.83, 13.16, 81, 298, 0, 
1931, 1, 0, 77.83, 13.16, 81, 299, 0, 
1932, 1, 0, 77.83, 13.16, 81, 299, 0, 
1933, 1, 0, 77.83, 13.16, 81, 300, 0, 
1934, 1, 0, 77.83, 13.16, 81, 300, 0, 
1935, 1, 0, 77.83, 13.16, 81, 299, 0, 
1936, 1, 0, 77.83, 13.16, 81, 300, 0, 
1937, 1, 0, 77.83, 13.16, 81, 299, 0, 
1938, 1, 0, 77.83, 13.16, 81, 298, 0, 
1939, 1, 0, 77.83, 13.16, 81, 299, 0, 
1940, 1, 0, 77.83, 13.16, 81, 299, 0, 
1941, 1, 0, 77.83, 13.16, 81, 299, 0, 
1942, 1, 0, 77.83, 13.16, 81, 299, 0, 
1943, 1, 0, 77.83, 13.16, 81, 299, 0, 
1944, 1, 0, 77.83, 13.16, 81, 299, 0, 
1945, 1, 0, 77.83, 13.16, 81, 299, 0, 
1946, 1, 0, 77.83, 13.16, 81, 299, 0, 
1947, 1, 0, 77.83, 13.16, 81, 299, 0, 
1948, 1, 0, 77.83, 13.16, 81, 300, 0, 
1949, 1, 0, 77.83, 13.16, 81, 298, 0, 
1950, 1, 0, 77.83, 13.16, 81, 299, 0, 
1951, 1, 0, 77.83, 13.16, 81, 298, 0, 
1952, 1, 0, 77.83, 13.16, 81, 299, 0, 
1953, 1, 0, 77.83, 13.16, 81, 299, 0, 
1954, 1, 0, 77.83, 13.16, 81, 298, 0, 
1955, 1, 0, 77.83, 13.16, 81, 299, 0, 
1956, 1, 0, 77.83, 13.16, 81, 300, 0, 
1957, 1, 0, 77.83, 13.16, 81, 299, 0, 
1958, 1, 0, 77.83, 13.16, 81, 298, 0, 
1959, 1, 0, 77.83, 13.16, 81, 299, 0, 
1960, 1, 0, 77.83, 13.16, 81, 298, 0, 
1961, 1, 0, 77.83, 13.16, 81, 300, 0, 
1962, 1, 0, 77.83, 13.16, 81, 299, 0, 
1963, 1, 0, 77.83, 13.16, 81, 300, 0, 
1964, 1, 0, 77.83, 13.16, 81, 299, 0, 
1965, 1, 0, 77.83, 13.16, 81, 298, 0, 
1966, 1, 0, 77.83, 13.16, 81, 299, 0, 
1967, 1, 0, 77.83, 13.16, 81, 298, 0, 
1968, 1, 0, 77.83, 13.16, 81, 299, 0, 
1969, 1, 0, 77.83, 13.16, 81, 299, 0, 
1970, 1, 0, 77.83, 13.16, 81, 299, 0, 
1971, 1, 0, 77.83, 13.16, 81, 299, 0, 
1972, 1, 0, 77.83, 13.16, 81, 299, 0, 
1973, 1, 0, 77.83, 13.16, 81, 298, 0, 
1974, 1, 0, 77.83, 13.16, 81, 298, 0, 
1975, 1, 0, 77.83, 13.16, 81, 299, 0, 
1976, 1, 0, 77.83, 13.16, 81, 299, 0, 
1977, 1, 0, 77.83, 13.16, 81, 299, 0, 
1978, 1, 0, 77.83, 13.16, 81, 300, 0, 
1979, 1, 0, 77.83, 13.16, 81, 299, 0, 
1980, 1, 0, 77.83, 13.16, 81, 299, 0, 
1981, 1, 0, 77.83, 13.16, 81, 299, 0, 
1982, 1, 0, 77.83, 13.16, 81, 298, 0, 
1983, 1, 0, 77.83, 13.16, 81, 300, 0, 
1984, 1, 0, 77.83, 13.16, 81, 299, 0, 
1985, 1, 0, 77.83, 13.16, 81, 299, 0, 
1986, 1, 0, 77.83, 13.16, 81, 299, 0, 
1987, 1, 0, 77.83, 13.16, 81, 299, 0, 
1988, 1, 0, 77.83, 13.16, 81, 298, 0, 
1989, 1, 0, 77.83, 13.16, 81, 299, 0, 
1990, 1, 0, 77.83, 13.16, 81, 299, 0, 
1991, 1, 0, 77.83, 13.16, 81, 299, 0, 
1992, 1, 0, 77.83, 13.16, 81, 300, 0, 
1993, 1, 0, 77.83, 13.16, 81, 299, 0, 
1994, 1, 0, 77.83, 13.16, 81, 300, 0, 
